Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
3551521	98711000000102	Sri Lankan - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551522	98721000000108	Tamil - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551523	98731000000105	Sinhalese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551524	98741000000101	Caribbean Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551525	98751000000103	British Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551526	98761000000100	Mixed Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551527	98771000000107	Other Asian or Asian unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551528	98781000000109	Caribbean - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551529	98791000000106	African - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551530	98801000000105	Other Black background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551531	98811000000107	Somali - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551532	98821000000101	Nigerian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551533	98831000000104	Black British - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551534	98841000000108	Mixed Black - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551535	98851000000106	Other Black or Black unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551536	98861000000109	Other - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551537	98871000000102	Vietnamese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551538	98881000000100	Japanese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551539	98891000000103	Filipino - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551540	98901000000102	Malaysian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551541	98911000000100	Buddhist - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551542	98921000000106	Hindu - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551543	98931000000108	Jewish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551544	98941000000104	Muslim - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551545	98951000000101	Sikh - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551546	98961000000103	Arab - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551547	98971000000105	North African - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
"3551548	98981000000107	Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard"
3551549	98991000000109	Israeli - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551550	99001000000109	Iranian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551551	99011000000106	Kurdish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551552	99021000000100	Moroccan - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551553	99031000000103	Latin American - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551554	99041000000107	South and Central American - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551555	99051000000105	Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551556	99061000000108	Any other group - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551719	103161000000104	Ethnic category - 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551720	103171000000106	British or mixed British - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551721	103181000000108	Irish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551722	103191000000105	Other White background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551723	103201000000107	English - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551724	103211000000109	Scottish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551725	103221000000103	Cornish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551726	103231000000101	Northern Irish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551727	103241000000105	Ulster Scots - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551728	103251000000108	Cypriot (part not stated) - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551729	103261000000106	Greek - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551730	103271000000104	Greek Cypriot - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551731	103281000000102	Turkish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551732	103291000000100	Turkish Cypriot - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551733	103301000000101	Italian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551734	103311000000104	Irish Traveller - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551735	103321000000105	Traveller - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551736	103331000000107	Gypsy/Romany - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551737	103341000000103	Polish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551738	103351000000100	Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551739	103361000000102	Commonwealth of (Russian) Independent States - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551740	103371000000109	Kosovan - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551741	103381000000106	Albanian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551742	103391000000108	Bosnian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551743	103401000000106	Croatian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551744	103411000000108	Other republics which made up the former Yugoslavia - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551745	103421000000102	Mixed Irish and other White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551746	103431000000100	Other White European or European unspecified or Mixed European - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551747	103441000000109	Other mixed White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551748	103451000000107	Other White or White unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551749	103461000000105	White and Black Caribbean - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551750	103471000000103	White and Black African - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551751	103481000000101	White and Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551752	103491000000104	Other Mixed background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551753	103501000000105	Black and Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551754	103511000000107	Black and Chinese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551755	103521000000101	Black and White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551756	103531000000104	Chinese and White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551757	103541000000108	Asian and Chinese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551758	103551000000106	Other Mixed or Mixed unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551759	103561000000109	Indian or British Indian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551760	103571000000102	Pakistani or British Pakistani - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551761	103581000000100	Bangladeshi or British Bangladeshi - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551762	103591000000103	Other Asian background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
